custom_id,text,text_cleaned,label,domain
0,Өтте күшті,өтте күшті,1,appstore
1,Мәбазар жок .Оте керемет тамаша керемет,мәбазар жок оте керемет тамаша керемет,1,appstore
2,"Кушти , дал тура айтады 👍👍👍👍",кушти дал тура айтады,1,appstore
3,Реклама коп,реклама коп,0,appstore
4,5-баға беремін,5 баға беремін,1,appstore
5,Өте оте керемет,өте оте керемет,1,appstore
6,"Өте қатты ұнады, ойымдағыдай шықты. Балаларыма ұнады.",өте қатты ұнады ойымдағыдай шықты балаларыма ұнады,1,market
7,"Маған ұнады, сапасы жақсы.",маған ұнады сапасы жақсы,1,market
8,"Өте жақсы. Тез әрі уақытылы жеткізді, қатты ұнады",өте жақсы тез әрі уақытылы жеткізді қатты ұнады,1,market
9,"Отиниш смайлдерды обновление қылыныздарш, бұрынғы смайликтермен калып койган отиниииш",отиниш смайлдерды обновление қылыныздарш бұрынғы смайликтермен калып койган отинииш,1,appstore
10,Кәсіби білім,кәсіби білім,1,appstore
11,"Өте качественно жұмыс жасайды!!!  Үнемі ауыстырып тұрамын,өз машинама өте жақсы әсер етты Эни деген итальяндық май",өте качественно жұмыс жасайды үнемі ауыстырып тұрамын өз машинама өте жақсы әсер етты эни деген итальяндық май,1,mapping
12,"Бұл пиццерияда жиі боламын, барлық пицца ұнайды деп айта алмаймын, алайда өзіме ұнайтыны бар. Фонданмен шай ішкен керемет! Қызметкерлері",бұл пиццерияда жиі боламын барлық пицца ұнайды деп айта алмаймын алайда өзіме ұнайтыны бар фонданмен шай ішкен керемет қызметкерлері,1,mapping
13,Уаааааааууууу керемет кімге ұнайды,уаауу керемет кімге ұнайды,1,appstore
14,Өте жақсы 👍 (◍•ᴗ•◍) ❤,өте жақсы ᴗ,1,appstore
15,Сапасы керемет. Бəрі ұнады. Рахмет.Менің қалауым болған. Рахмет,сапасы керемет бəрі ұнады рахмет менің қалауым болған рахмет,1,market
16,Паталок Ойн 😉😉,паталок ойн,1,appstore
17,"Бізге қатты ұнап жатыр, күні бойы үстінде аунап жүрміз. Тасып жүруге де ыңғайлы.",бізге қатты ұнап жатыр күні бойы үстінде аунап жүрміз тасып жүруге де ыңғайлы,1,market
18,Өте жақсы сапасы.Өте жақсы орап жіберіпті. Ризамын.,өте жақсы сапасы өте жақсы орап жіберіпті ризамын,1,market
19,"Іштері тар қатындар екен. Сондайларды кім алады екен жұмысқа, ужас сөз жоқ. Өздерін типа звезда санайды.",іштері тар қатындар екен сондайларды кім алады екен жұмысқа ужас сөз жоқ өздерін типа звезда санайды,0,mapping
20,"Өте жақсы бағдарлама. Ішінде компас, намаз уақыттары,зікірлер, əсіресе Құран бар",өте жақсы бағдарлама ішінде компас намаз уақыттары зікірлер əсіресе құран бар,1,appstore
21,жуз паиз,жуз паиз,1,appstore
22,Керемет маған қатты ұнады.Мен өзімнің ішім ап арық😊бірақ одан сайын арықтағым келеді🤗,керемет маған қатты ұнады мен өзімнің ішім ап арықбірақ одан сайын арықтағым келеді,1,appstore
23,Ойын күшті оте керемет ойын маған ұнады 💖💖,ойын күшті оте керемет ойын маған ұнады,0,appstore
24,Ұқыпты оралған. Кремнің иісі күшті екен.Бәрін жаппайды.,ұқыпты оралған кремнің иісі күшті екен бәрін жаппайды,1,market
25,И дейт маған ұнады көп көмек берді және олар,и дейт маған ұнады көп көмек берді және олар,1,appstore
26,Маған бұл оиын ұнады СІЗДЕРГЕ. БҰЛ ОИЫН ҰНАДЫ,маған бұл оиын ұнады сіздерге бұл оиын ұнады,1,appstore
27,"Блендер маған ұнады, өте ыңғайлы.",блендер маған ұнады өте ыңғайлы,1,market
28,Менің досымда бар мағанда қатты ұнады,менің досымда бар мағанда қатты ұнады,1,appstore
29,"Қызым сүйсініп ішеді, және де қол жетімді әрі жылдам жеткізеді.",қызым сүйсініп ішеді және де қол жетімді әрі жылдам жеткізеді,1,market
30,Керемет!Намаз оқырдың алдында азан тыңдау мүмкіндігінен керемет əсер аламыз!Аллаға мың шүкір!,керемет намаз оқырдың алдында азан тыңдау мүмкіндігінен керемет əсер аламыз аллаға мың шүкір,1,appstore
31,Сұмдық не шығарғансыңдар мынауың тегін емес қой тіпті түкте істей алмайсың масқара Про версияң бар болсын.,сұмдық не шығарғансыңдар мынауың тегін емес қой тіпті түкте істей алмайсың масқара про версияң бар болсын,0,appstore
32,Тамаша емес керісінше емес керісінше,тамаша емес керісінше емес керісінше,1,appstore
33,Өте сапалы екені көрініп тұр. Алуға кеңес беремін.,өте сапалы екені көрініп тұр алуға кеңес беремін,1,market
34,Бул ойын маган унады.,бул ойын маган унады,1,appstore
35,Жарайсындар .Казак пернетактасын курастыргандарыга алгысым шексиз,жарайсындар казак пернетактасын курастыргандарыга алгысым шексиз,1,appstore
36,Айфонґа тусетини барма,айфонґа тусетини барма,1,appstore
37,Өте жақсы ұнады!Жақсы тазалайды кілемді.,өте жақсы ұнады жақсы тазалайды кілемді,1,market
38,Неге катып дурыс истеми тур,неге катып дурыс истеми тур,0,appstore
39,"Тамаша, бәрі ойдағыдай. Керемет",тамаша бәрі ойдағыдай керемет,1,appstore
40,Сондай әсерлі,сондай әсерлі,1,bookstore
41,жазылымсыз оқуға болмайды ма?,жазылымсыз оқуға болмайды ма,0,bookstore
42,Мен енді тартып жатырмын бәрі қызық деген соң,мен енді тартып жатырмын бәрі қызық деген соң,1,appstore
43,"Жақсы екен, енді тек осыдан алам.",жақсы екен енді тек осыдан алам,1,market
44,оте оте жаман деб айта алмаймын ооооооооооте керемет,оте оте жаман деб айта алмаймын ооте керемет,1,appstore
45,Көмегім болсын Код жазатын есікке писталет керек оны алу үшін мысығы бар комтаның терезесін шағып кір құлпты аш сосын камера көретін жерін сонымен ашасың бір соткы тұрад сода кот берген болды,көмегім болсын код жазатын есікке писталет керек оны алу үшін мысығы бар комтаның терезесін шағып кір құлпты аш сосын камера көретін жерін сонымен ашасың бір соткы тұрад сода кот берген болды,1,appstore
46,Күшті керемет маған ұнайды,күшті керемет маған ұнайды,1,appstore
47,Мен де бұл ойын көшіріліп жатыр бірақ бұл ойын керемет екенін білемін😊,мен де бұл ойын көшіріліп жатыр бірақ бұл ойын керемет екенін білемін,1,appstore
48,"Ма Ша Алла !😍😍Керемет екен.Бұл менің ілімімді одан əрі дамытты.Ендігі намаз,Құран бастаймын дегендерге жақсы бастама болмақ!!!👍👍👍👏",ма ша алла керемет екен бұл менің ілімімді одан əрі дамытты ендігі намаз құран бастаймын дегендерге жақсы бастама болмақ,1,appstore
49,"Жақсы, сапалы жазылған",жақсы сапалы жазылған,1,market
50,Шанды жақсы сорады.,шанды жақсы сорады,1,market
51,Өте күшті оин,өте күшті оин,1,appstore
52,оте керемет ары жылдам,оте керемет ары жылдам,1,appstore
53,Сабақ оқуға алдым,сабақ оқуға алдым,1,market
54,Елорданың символы!,елорданың символы,1,mapping
55,Өте керемет себебі іші Қазақша және әр адамды намазға тартады және сүре т.б заттарды үиренесін,өте керемет себебі іші қазақша және әр адамды намазға тартады және сүре т б заттарды үиренесін,1,appstore
56,Magan katty unady keremet😍😍😍😍,magan katty unady keremet,1,appstore
57,Ең жаманы car parking сенде мықты машйне бар болса басқа машйнеге ауыстырам десең конеее машйнеге ауысады өте жаман мсал ақша алатын машйнені алсаң басқа машйнеге ауыстырайықдеп айтсаң ол жоқ дйді браздаңсоң конеее мықты емес машйнеге ауыстырады өтеееееее жаман Ақша ны қортқан неее өзі!!!!!!!!!!!!!!!!!!!!!!!!!!,ең жаманы car parking сенде мықты машйне бар болса басқа машйнеге ауыстырам десең конее машйнеге ауысады өте жаман мсал ақша алатын машйнені алсаң басқа машйнеге ауыстырайықдеп айтсаң ол жоқ дйді браздаңсоң конее мықты емес машйнеге ауыстырады өтее жаман ақша ны қортқан нее өзі,1,appstore
58,Бетті қышытпайды. Жеңіл тыныс аласаң.,бетті қышытпайды жеңіл тыныс аласаң,1,market
59,Керемет праграмма,керемет праграмма,1,appstore
60,Мен бұл ойынды кішкентай кезімнен ойнайм syper ☺️☺️,мен бұл ойынды кішкентай кезімнен ойнайм syper,1,appstore
61,Барлық жағынан қатты ұнады маған.,барлық жағынан қатты ұнады маған,1,market
62,Эверест шыңы Үндыстанда орналасқан деп қойыпсыздарғо дұрысы Қытайда емеспе еді?,эверест шыңы үндыстанда орналасқан деп қойыпсыздарғо дұрысы қытайда емеспе еді,0,appstore
63,Керемет бірақ досыңмен ойнайалмайды екен,керемет бірақ досыңмен ойнайалмайды екен,1,appstore
64,"Теле2, Алтел, Актив, Кейселл деп бөлудің не қажеті бар? Әлде мемлекет қаражатын талан-таражға салу ма? Төрт брентте Қазақтелеком ғой!",теле2 алтел актив кейселл деп бөлудің не қажеті бар әлде мемлекет қаражатын талан таражға салу ма төрт брентте қазақтелеком ғой,0,appstore
65,Маған да қатты ұнады,маған да қатты ұнады,1,appstore
66,Өте керемет жазсаңыз жалықпайсыз,өте керемет жазсаңыз жалықпайсыз,1,appstore
67,Өте күш👍😀,өте күш,1,appstore
68,Жаңартуды сұрай береді,жаңартуды сұрай береді,0,appstore
69,"Сәлеметсізбе,Улжан Жайлауовна Мен сіздің осындай қоғамдық жұмысқа белсенділігіңіз үшін қуаныштымын Сәттілік тілеймін.",сәлеметсізбе улжан жайлауовна мен сіздің осындай қоғамдық жұмысқа белсенділігіңіз үшін қуаныштымын сәттілік тілеймін,1,appstore
70,Барлығы жасап тұр! Алла разы болсын! Намаздарымызды уақытылы оқиық!,барлығы жасап тұр алла разы болсын намаздарымызды уақытылы оқиық,1,appstore
71,"бары жаксы,маган унады.Ен бастысы,бары жаксы истиды",бары жаксы маган унады ен бастысы бары жаксы истиды,1,appstore
72,Керемет зал. Тренерлер молодец. Бағасы да тиімді.,керемет зал тренерлер молодец бағасы да тиімді,1,mapping
73,"Дүкеннен хабарласып, қандай түсі керек екенін сұрап алды.",дүкеннен хабарласып қандай түсі керек екенін сұрап алды,1,market
74,Сапасы өте күшті,сапасы өте күшті,1,market
75,Тикток бұл әрқандай қызықты Эфир.Мұнда қайталанбас күлкілі жаиттар өте көп.Тек кейде қатып қалып тел сөндірсеңде сөилей беретіні жаман.,тикток бұл әрқандай қызықты эфир мұнда қайталанбас күлкілі жаиттар өте көп тек кейде қатып қалып тел сөндірсеңде сөилей беретіні жаман,1,appstore
76,Күшті бағдарлама екен,күшті бағдарлама екен,1,appstore
77,Óte keremet maǵan qatty unady,o te keremet mag an qatty unady,1,appstore
78,ма шәәә Алла Алла разы болсын осы приложенияны ойлап тапқан адамнан...Өте керемет👍👍👍👍,ма шәә алла алла разы болсын осы приложенияны ойлап тапқан адамнан өте керемет,1,appstore
79,Оте ынгайлы банк Kaspi🥰🥰🥰🥰,оте ынгайлы банк kaspi,1,appstore
80,"Керемет машинка, өте ұнады. Тез жеткізді. Рахмет!",керемет машинка өте ұнады тез жеткізді рахмет,1,market
