custom_id,text,text_cleaned,label,domain
pla083193pla,Мәбазар жок .Оте керемет тамаша керемет,мәбазар жок оте керемет тамаша керемет,1,appstore
pla034126pla,Өте оте керемет,өте оте керемет,1,appstore
pla127232pla,"Отиниш смайлдерды обновление қылыныздарш, бұрынғы смайликтермен калып койган отиниииш",отиниш смайлдерды обновление қылыныздарш бұрынғы смайликтермен калып койган отинииш,1,appstore
pla066550pla,Өте жақсы 👍 (◍•ᴗ•◍) ❤,өте жақсы ᴗ,1,appstore
kas018557kas,Сапасы керемет. Бəрі ұнады. Рахмет.Менің қалауым болған. Рахмет,сапасы керемет бəрі ұнады рахмет менің қалауым болған рахмет,1,market
kas023825kas,"Бізге қатты ұнап жатыр, күні бойы үстінде аунап жүрміз. Тасып жүруге де ыңғайлы.",бізге қатты ұнап жатыр күні бойы үстінде аунап жүрміз тасып жүруге де ыңғайлы,1,market
kas019176kas,Өте жақсы сапасы.Өте жақсы орап жіберіпті. Ризамын.,өте жақсы сапасы өте жақсы орап жіберіпті ризамын,1,market
gis001226gis,"Іштері тар қатындар екен. Сондайларды кім алады екен жұмысқа, ужас сөз жоқ. Өздерін типа звезда санайды.",іштері тар қатындар екен сондайларды кім алады екен жұмысқа ужас сөз жоқ өздерін типа звезда санайды,0,mapping
pla022319pla,жуз паиз,жуз паиз,1,appstore
kas003230kas,Ұқыпты оралған. Кремнің иісі күшті екен.Бәрін жаппайды.,ұқыпты оралған кремнің иісі күшті екен бәрін жаппайды,1,market
pla134324pla,И дейт маған ұнады көп көмек берді және олар,и дейт маған ұнады көп көмек берді және олар,1,appstore
kas017968kas,"Блендер маған ұнады, өте ыңғайлы.",блендер маған ұнады өте ыңғайлы,1,market
pla090050pla,Менің досымда бар мағанда қатты ұнады,менің досымда бар мағанда қатты ұнады,1,appstore
kas018999kas,Өте жақсы ұнады!Жақсы тазалайды кілемді.,өте жақсы ұнады жақсы тазалайды кілемді,1,market
